number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_wd,params_batch_size,params_block_0_filters,params_block_0_kernel_pair,params_block_1_filters,params_block_1_kernel_pair,params_block_2_filters,params_block_2_kernel_pair,params_first_conv_filters,params_first_conv_kernel_width,params_lr_decay,params_lr_step_size,params_n_blocks,params_optimizer,params_sgd_lr,params_sgd_momentum,params_sgd_wd,user_attrs_best_epoch,user_attrs_validation_accuracy,user_attrs_validation_macro_f1,system_attrs_tpe:relative_params:0,state
0,0.6989017401494075,2026-09-19 13:04:13.923405,2026-09-19 13:04:22.847512,0 days 00:00:08.924107,0.9828439752154666,0.9964666401041485,0.00021930485556643703,1.8205657658407268e-06,128,64,"(3, 5)",32.0,"(3, 7)",64.0,"(5, 7)",32,3,0.1870761961280168,35,3,Adam,,,,50.0,0.7100591715976331,0.687744308701182,,COMPLETE
1,0.33812644664650726,2026-09-19 13:04:22.997625,2026-09-19 13:04:32.726848,0 days 00:00:09.729223,,,,,256,16,"(5, 7)",64.0,"(5, 7)",,,64,3,0.49409912147023277,12,2,SGD,0.004247058562261873,0.7408680252426811,0.0016172900811143157,33.0,0.33136094674556216,0.34489194654745237,,COMPLETE
2,0.23726496686402349,2026-09-19 13:04:32.852935,2026-09-19 13:04:42.242634,0 days 00:00:09.389699,,,,,128,8,"(5, 7)",64.0,"(3, 7)",,,64,7,0.191460191484347,29,2,SGD,0.00011919481947918739,0.7312885138280583,1.3357240411974112e-06,20.0,0.3076923076923077,0.16683762603573923,,COMPLETE
3,0.22418171934301545,2026-09-19 13:04:42.385354,2026-09-19 13:04:49.153728,0 days 00:00:06.768374,,,,,256,64,"(5, 7)",64.0,"(3, 7)",,,16,5,0.19544131940933984,39,2,SGD,0.00046379219034580355,0.734760956526768,2.2410971619109514e-05,25.0,0.23668639053254437,0.2116770481534865,,COMPLETE
4,0.18362997158386551,2026-09-19 13:04:49.302558,2026-09-19 13:04:55.762688,0 days 00:00:06.460130,,,,,128,32,"(5, 7)",32.0,"(3, 5)",,,16,7,0.06834881369964377,15,2,SGD,0.00018658181360124853,0.942237723720879,1.91920011015619e-05,15.0,0.1834319526627219,0.18382799050500914,,COMPLETE
5,0.728211033640618,2026-09-19 13:04:55.903677,2026-09-19 13:05:11.648365,0 days 00:00:15.744688,0.9591825764200673,0.9641389614508133,0.0062261634823634615,0.0035346441441965848,64,16,"(3, 7)",64.0,"(3, 5)",,,128,5,0.1227329213425762,12,2,Adam,,,,50.0,0.727810650887574,0.728611416393662,,COMPLETE
6,0.1723714606090065,2026-09-19 13:05:11.798895,2026-09-19 13:05:13.041725,0 days 00:00:01.242830,,,,,200,32,"(3, 5)",16.0,"(3, 5)",16.0,"(5, 7)",16,3,0.46168897559920186,39,3,SGD,0.008638073353835195,0.7513620970280441,0.005778755734457461,,,,,PRUNED
7,0.5612518281474326,2026-09-19 13:05:13.185846,2026-09-19 13:05:17.442999,0 days 00:00:04.257153,0.9475822037393375,0.9701781599903122,0.0056852051903320934,0.0009184900818511545,256,16,"(5, 7)",,,,,16,5,0.18211632991902205,21,1,Adam,,,,49.0,0.5739644970414202,0.548539159253445,,COMPLETE
8,0.5197461892167758,2026-09-19 13:05:17.587368,2026-09-19 13:05:28.342518,0 days 00:00:10.755150,,,,,200,32,"(3, 7)",64.0,"(5, 7)",,,64,7,0.29328580472454796,26,2,SGD,0.007390459262954656,0.7247507648481927,1.6096330648219384e-06,49.0,0.5266272189349113,0.5128651594986404,,COMPLETE
9,0.10755373543835081,2026-09-19 13:05:28.459043,2026-09-19 13:05:29.832851,0 days 00:00:01.373808,,,,,256,8,"(5, 7)",32.0,"(3, 7)",32.0,"(3, 5)",32,7,0.12794084145950685,24,3,SGD,0.0026455835850385506,0.7283719065887904,9.25685584198963e-05,,,,,PRUNED
